Designator,Comment,Layer,Footprint,Mid X(mm),Mid Y(mm),Rotation,Description
R12,Resistor 10k +/-1% 0603 100 mW,BottomLayer,RESC1608X55X25ML10T15,"74,676","96,520",90,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
R11,Resistor 10k +/-1% 0603 100 mW,BottomLayer,RESC1608X55X25ML10T15,"33,782","96,520",270,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
C4,Capacitor 10µF +/-20% 10V 0603,BottomLayer,CAPC0603(1608)100_L,"85,598","167,386",0,"Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm"
R5,Resistor 10k +/-1% 0603 100 mW,BottomLayer,RESC1608X55X25ML10T15,"44,450","193,294",90,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
R2,Resistor 10k +/-1% 0603 100 mW,BottomLayer,RESC1608X55X25ML10T15,"44,450","166,878",270,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
C3,TAJC336K016RNJ,BottomLayer,FP-TAJC-MFG,"163,576","207,518",180,33uF 16V  ±10% 1.5O 2312  SMD Tantalum Capacitor
D3,LTST-C190TBKT,BottomLayer,LTST-C190TBKT-2_V,"61,214","96,520",90,"LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
D2,LTST-C190AKT,BottomLayer,LTST-C190AKT-2_V,"47,498","96,520",270,"LED Uni-Color Orange, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
U2,LM3940,BottomLayer,FP-DCY0004A-IPC_C,"163,322","154,940",0,IC REG LDO 3.3V 1A SOT223
R1,Resistor 10k +/-1% 0603 100 mW,BottomLayer,RESC1608X55X25ML10T15,"84,328","151,130",180,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)"
L1,LQG18HN2N2S00D,BottomLayer,FP-LQG18HH_00-IPC_A,"143,764","102,362",90,"General Purpose Inductor, 0.0022uH, 13.636%, 1 Element, Air-Core, SMD, 0603"
C2,Capacitor 100 nF +/-10% 50 V 0603,BottomLayer,CAPC1608X90X40NL10T20,"164,338","110,490",0,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)"
C1,Capacitor 100 nF +/-10% 50 V 0603,BottomLayer,CAPC1608X90X40NL10T20,"164,592","93,980",0,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)"
U1,ESP32-C3-MINI-1U-N4,BottomLayer,XCVR_ESP32-C3-MINI-1U-N4,"113,984","284,480",180,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.412GHz ~ 2.484GHz Antenna Not Included, I-PEX Surface Mount"
R4,ERA-3AEB512V,BottomLayer,FP-ERA3A-MFG,"189,230","66,294",90,Res Thin Film 0603 5.1K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R
R3,ERA-3AEB512V,BottomLayer,FP-ERA3A-MFG,"39,370","66,294",90,Res Thin Film 0603 5.1K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R
J1,USB4110-GF-A,BottomLayer,FP-USB4110-GF-A-MFG,"114,300","50,211",180,Conn USB Type C RCP 16 POS 0.3mm/0.5mm Solder ST SMD 16 Terminal 1 Port T/R
D1,USBLC6-2SC6,BottomLayer,STM-SOT23-6L_V,"114,300","102,362",270,"Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel"
